Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ACSM2A	"A-923A4.1, ACSM2, MGC150530"	ENSG00000183747	"Acyl-CoA synthetase medium chain family member 2A"	Q08AH3	16	20451461-20487669	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	1179	"kidney: 267.2;liver: 351.8"	"Group enriched"	"Detected in some"	8	"Hepatocytes: 564.8;Proximal tubular cells: 318.8"	"Group enriched"	"Detected in some"	479	"liver cancer: 22.7;renal cancer: 25.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"liver cancer: 1.2"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"									HPA057699	Supported						NA	NA				"Cluster 1: Liver & Kidney - Metabolism"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 62: Hepatocytes - Metabolism"				"HPA057699: AB_2683506"	"unprognostic (1.17e-4)"						"prognostic favorable (1.41e-5)"				"unprognostic (5.25e-1)"	"unprognostic (2.42e-1)"	"unprognostic (9.28e-3)"	"unprognostic (1.52e-1)"	"unprognostic (5.10e-1)"	"unprognostic (2.09e-1)"	
UGT1A9	"HLUGP4, LUGP4, UGT1AI"	ENSG00000241119	"UDP glucuronosyltransferase family 1 member A9"	O60656	2	233671898-233773300	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism"	"Glycosyltransferase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	368	"kidney: 442.6;liver: 190.3"	"Group enriched"	"Detected in some"	17	"Hepatocytes: 7.1;Proximal tubular cells: 5.8"	"Group enriched"	"Detected in some"	157	"liver cancer: 16.1;renal cancer: 16.5"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"Kidney cancer: 109.6"	"Kidney - Proximal tubular cells, Liver - Hepatocytes"																NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"											"unprognostic (2.46e-2)"				"unprognostic (3.56e-1)"		"prognostic unfavorable (5.04e-5)"	"unprognostic (4.26e-2)"			"unprognostic (1.60e-1)"
CYP4A11	"CYP4A2, CYP4AII"	ENSG00000187048	"Cytochrome P450 family 4 subfamily A member 11"	Q02928	1	46929177-46941484	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	"Monooxygenase, Oxidoreductase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	346	"kidney: 209.6;liver: 824.3"	"Cell type enriched"	"Detected in some"	5	"Hepatocytes: 449.1"	"Cancer enriched"	"Detected in some"	5	"liver cancer: 73.4"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"																NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 1: Neurons - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 43: Hepatocytes - Metabolism"					"unprognostic (9.05e-2)"	"unprognostic (4.98e-2)"		"unprognostic (4.43e-2)"	"unprognostic (4.11e-1)"	"unprognostic (7.81e-5)"	"unprognostic (5.10e-3)"	"unprognostic (1.16e-2)"	"unprognostic (1.83e-2)"	"unprognostic (1.92e-2)"	"unprognostic (1.90e-1)"	"unprognostic (1.12e-1)"	"unprognostic (4.59e-2)"	"unprognostic (5.86e-2)"	"unprognostic (1.96e-1)"	"unprognostic (3.00e-3)"	"unprognostic (1.68e-2)"
ACSM2B	"ACSM2, HXMA, HYST1046"	ENSG00000066813	"Acyl-CoA synthetase medium chain family member 2B"	Q68CK6	16	20536226-20576427	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	331	"kidney: 399.0;liver: 510.9"	"Group enriched"	"Detected in some"	9	"Hepatocytes: 837.6;Proximal tubular cells: 400.7"	"Group enriched"	"Detected in some"	449	"liver cancer: 30.9;renal cancer: 17.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"									HPA057699	Supported						NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 15: Non-specific - Transcription"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	1			"HPA057699: AB_2683506"	"unprognostic (1.34e-2)"						"prognostic favorable (3.31e-4)"				"unprognostic (7.13e-2)"	"unprognostic (2.29e-1)"	"unprognostic (6.67e-2)"	"unprognostic (1.24e-1)"	"unprognostic (1.15e-1)"	"unprognostic (2.22e-2)"	
SLC22A8	OAT3	ENSG00000149452	"Solute carrier family 22 member 8"	Q8TCC7	11	62989154-63015841	"FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"	"Detoxification, Ion transport, Lipid transport, Transport"		"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	203	"choroid plexus: 273.8;kidney: 322.8"	"Cell type enriched"	"Detected in some"	17	"Proximal tubular cells: 170.1"	"Cancer enhanced"	"Detected in single"		"renal cancer: 0.6"	"Region enriched"	"Detected in some"	31	"choroid plexus: 242.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA044174	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA044174: AB_10963058"							"unprognostic (5.35e-4)"					"unprognostic (4.66e-1)"	"unprognostic (6.88e-3)"	"unprognostic (1.72e-1)"	"unprognostic (2.20e-1)"		
AQP2		ENSG00000167580	"Aquaporin 2"	P41181	12	49950737-49958878	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport		"Diabetes insipidus, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	91	"kidney: 373.4;seminal vesicle: 205.2"	"Cell type enriched"	"Detected in some"	17	"Collecting duct cells: 3224.6"	"Group enriched"	"Detected in some"	6	"renal cancer: 1.7;stomach cancer: 1.8"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 1.1;Gastric cancer: 1.2"	"Breast - Breast glandular cells (progenitors), Skin - Eccrine sweat gland cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA046834	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 3: Basal prostatic cells - Lipid metabolism"	33			"HPA046834: AB_2679830"	"unprognostic (2.10e-1)"	"unprognostic (3.77e-2)"	"unprognostic (6.96e-3)"	"unprognostic (4.48e-3)"	"unprognostic (3.60e-2)"			"unprognostic (9.51e-2)"	"unprognostic (2.21e-1)"	"unprognostic (1.43e-2)"	"unprognostic (2.65e-2)"	"unprognostic (7.38e-3)"	"unprognostic (5.92e-2)"	"unprognostic (4.60e-2)"	"unprognostic (2.01e-2)"	"unprognostic (1.11e-1)"	
BHMT	BHMT1	ENSG00000145692	"Betaine--homocysteine S-methyltransferase"	Q93088	5	79111809-79132288	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Methyltransferase, Transferase"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	83	"kidney: 751.2;liver: 1107.8"	"Group enriched"	"Detected in some"	26	"Hepatocytes: 550.2;Proximal tubular cells: 637.2"	"Group enriched"	"Detected in some"	4	"liver cancer: 90.6;renal cancer: 50.4"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Gastric cancer: 4.2;Kidney cancer: 1.9"	"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in many"			"HPA038285, HPA058310"	Enhanced		Approved	Cytosol			No	NA		10000000		"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 51: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"		Cytosol		"HPA038285: AB_10675791, HPA058310: AB_2683675"	"unprognostic (2.61e-2)"	"unprognostic (4.12e-1)"	"unprognostic (4.45e-1)"	"unprognostic (4.14e-3)"	"unprognostic (5.62e-2)"	"unprognostic (4.14e-1)"	"prognostic favorable (7.32e-4)"	"unprognostic (5.33e-2)"	"unprognostic (1.51e-1)"	"unprognostic (1.13e-1)"	"unprognostic (9.66e-4)"	"unprognostic (6.42e-2)"	"unprognostic (8.26e-3)"	"unprognostic (1.77e-1)"	"unprognostic (3.22e-1)"	"unprognostic (3.60e-2)"	"unprognostic (2.30e-3)"
SLC22A11	OAT4	ENSG00000168065	"Solute carrier family 22 member 11"	Q9NSA0	11	64555690-64572875	"FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Anion exchange, Antiport, Ion transport, Transport"		"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	71	"epididymis: 10.3;kidney: 30.8;placenta: 32.3"	"Group enriched"	"Detected in some"	33	"Cytotrophoblasts: 628.4;Syncytiotrophoblasts: 1718.7"	"Cancer enriched"	"Detected in some"	4	"renal cancer: 15.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells"					"Not detected"	"Not detected"			HPA026076	Enhanced						NA	NA				"Cluster 57: Lung - Lung function"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"				"HPA026076: AB_1854756"	"unprognostic (8.21e-5)"	"unprognostic (3.29e-2)"	"unprognostic (3.57e-1)"	"unprognostic (1.57e-1)"	"unprognostic (3.20e-2)"	"unprognostic (4.57e-3)"	"unprognostic (3.48e-1)"	"unprognostic (1.93e-1)"	"unprognostic (4.86e-2)"	"unprognostic (4.51e-2)"	"unprognostic (7.56e-2)"	"unprognostic (1.13e-1)"	"prognostic favorable (3.68e-5)"	"unprognostic (4.62e-2)"	"unprognostic (6.52e-2)"	"unprognostic (3.50e-2)"	"unprognostic (8.24e-3)"
SLC36A2	"PAT2, TRAMD1, tramdorin"	ENSG00000186335	"Solute carrier family 36 member 2"	Q495M3	5	151314972-151347590	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Amino-acid transport, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	60	"kidney: 65.1;skeletal muscle: 77.2;tongue: 28.7"	"Group enriched"	"Detected in some"	5	"Proximal tubular cells: 42.5;Skeletal myocytes: 18.5"	"Cancer enriched"	"Detected in single"	9	"renal cancer: 0.5"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in single"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skeletal muscle - Skeletal myocytes, Testis - Late spermatids"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			"HPA044002, HPA062229"	Enhanced						NA	NA				"Cluster 23: Non-specific - Cellular respiration"	"Cluster 48: Non-specific - Mixed function"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA044002: AB_10964214, HPA062229: AB_2684717"	"unprognostic (3.47e-1)"	"unprognostic (3.40e-1)"		"unprognostic (2.26e-2)"	"unprognostic (6.23e-2)"	"unprognostic (8.38e-3)"	"unprognostic (4.66e-3)"	"unprognostic (3.03e-1)"	"unprognostic (7.73e-2)"	"unprognostic (1.92e-2)"	"unprognostic (2.11e-1)"	"unprognostic (1.92e-1)"	"unprognostic (1.20e-3)"	"unprognostic (1.43e-1)"	"unprognostic (1.05e-1)"	"unprognostic (2.18e-1)"	"unprognostic (3.89e-2)"
ALDOB		ENSG00000136872	"Aldolase, fructose-bisphosphate B"	P05062	9	101420560-101449664	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	Glycolysis	Lyase	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	49	"intestine: 6181.0;kidney: 6911.1;liver: 10855.3"	"Cell type enriched"	"Detected in many"	4	"Proximal enterocytes: 21508.9"	"Cancer enriched"	"Detected in many"	31	"liver cancer: 1414.0"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"Gastric cancer: 10.2"	"Kidney - Proximal tubular cells, Liver - Hepatocytes, Stomach - Parietal cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA002198, CAB020827, HPA073201"	Enhanced						NA	NA		560000000		"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 34: Non-specific - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 22: Proximal enterocytes - Digestion"	4			"CAB020827: , HPA002198: AB_1078129, HPA073201: "	"unprognostic (6.58e-3)"	"unprognostic (2.83e-1)"	"unprognostic (1.43e-3)"	"unprognostic (1.03e-1)"	"unprognostic (8.10e-2)"	"unprognostic (1.96e-2)"	"unprognostic (1.44e-3)"	"unprognostic (4.34e-2)"	"unprognostic (4.57e-2)"	"unprognostic (2.66e-1)"	"unprognostic (5.79e-2)"	"unprognostic (7.48e-2)"	"unprognostic (1.66e-2)"	"unprognostic (2.02e-1)"	"unprognostic (2.58e-1)"	"unprognostic (5.19e-2)"	"unprognostic (1.96e-2)"
