Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
SLC12A1	"BSC, BSC-1, BSC1, CCC2, NKCC2"	ENSG00000074803	"Solute carrier family 12 member 1"	Q13621	15	48178438-48304078	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Potassium transport, Sodium transport, Symport, Transport"		"Bartter syndrome, Disease variant, FDA approved drug targets, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	825	"kidney: 687.0"	"Group enriched"	"Detected in some"	4	"Collecting duct cells: 33.1;Distal tubular cells: 92.2"	"Cancer enriched"	"Detected in single"	4	"renal cancer: 1.0"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Ascending Loop of Henle cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA014967, HPA018107"	Enhanced		Approved	Nucleoplasm,Vesicles			NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 1: Neurons - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 39: Non-specific - Basic cellular processes"		Vesicles	Nucleoplasm	"HPA014967: AB_1854503, HPA018107: AB_1854504"	"unprognostic (3.52e-2)"	"unprognostic (1.30e-2)"		"unprognostic (9.65e-2)"	"unprognostic (1.74e-2)"	"unprognostic (7.77e-2)"	"unprognostic (1.04e-1)"	"unprognostic (8.72e-2)"	"unprognostic (2.06e-1)"	"unprognostic (9.85e-3)"	"unprognostic (2.81e-4)"	"unprognostic (9.75e-2)"	"unprognostic (2.61e-1)"	"unprognostic (5.47e-2)"	"unprognostic (2.03e-1)"	"unprognostic (5.20e-4)"	"unprognostic (8.52e-2)"
TMEM174	"FLJ31268, MGC13034"	ENSG00000164325	"Transmembrane protein 174"	Q8WUU8	5	73173193-73175143	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	800	"kidney: 147.7"	"Cell type enriched"	"Detected in some"	7	"Proximal tubular cells: 117.5"	"Cancer enriched"	"Detected in single"	126	"renal cancer: 6.2"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			HPA037975	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 22: Non-specific - Mixed function"	"Cluster 61: BICR 18 - Protein kinases"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	12			"HPA037975: AB_10672732"					"unprognostic (8.11e-2)"								"prognostic favorable (3.30e-6)"				
UMOD		ENSG00000169344	Uromodulin	P07911	16	20333051-20356301	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunity, Innate immunity"		"Ciliopathy, Disease variant, Nephronophthisis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	689	"kidney: 2197.0"	"Group enriched"	"Detected in some"	164	"Collecting duct cells: 204.2;Distal tubular cells: 405.7"	"Cancer enriched"	"Detected in single"	39	"renal cancer: 5.5"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Breast glandular cells, Kidney - Ascending Loop of Henle cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB009446, HPA043420, HPA054721"	Enhanced				"Secreted in other tissues"	Immunity	NA	NA	55000000	66000000		"Cluster 52: Kidney - Transmembrane transport"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 39: Non-specific - Basic cellular processes"				"CAB009446: AB_2212378, HPA043420: AB_2678474, HPA054721: AB_2682585"	"unprognostic (2.51e-2)"										"unprognostic (1.33e-1)"	"unprognostic (6.45e-2)"	"unprognostic (3.02e-2)"	"unprognostic (1.49e-2)"	"unprognostic (1.43e-1)"		
SLC7A13	"AGT-1, XAT2"	ENSG00000164893	"Solute carrier family 7 member 13"	Q8TCU3	8	86214063-86321146	"Predicted membrane proteins, Transporters"	"Amino-acid transport, Transport"			"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	231	"kidney: 40.4"	"Cell type enriched"	"Detected in some"	10	"Proximal tubular cells: 21.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Breast glandular cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 27: Breast cancer - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"					"unprognostic (3.34e-1)"						"unprognostic (2.62e-1)"					"unprognostic (1.12e-1)"	"unprognostic (2.96e-5)"				
SLC22A12	"OAT4L, RST, URAT1"	ENSG00000197891	"Solute carrier family 22 member 12"	Q96S37	11	64590641-64602353	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"		"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	205	"kidney: 106.4"	"Cell type enriched"	"Detected in some"	20	"Proximal tubular cells: 128.6"	"Cancer enriched"	"Detected in some"	4	"renal cancer: 16.5"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"			HPA024575	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 15: Non-specific - Transcription"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA024575: AB_1858650"					"unprognostic (5.88e-2)"		"unprognostic (2.33e-1)"						"prognostic favorable (2.63e-4)"	"unprognostic (6.19e-2)"	"unprognostic (3.91e-2)"		
NPHS2	"PDCN, SRN1"	ENSG00000116218	"NPHS2 stomatin family member, podocin"	Q9NP85	1	179550539-179575952	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"			"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	141	"kidney: 248.0"	"Cell type enriched"	"Detected in some"	5	"Collecting duct cells: 35.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Podocytes, Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in many"			"CAB037267, HPA049486"	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 13: Spermatids - Transcription"	1			"CAB037267: AB_261982, HPA049486: AB_2680788"													"unprognostic (6.77e-2)"	"unprognostic (9.71e-2)"	"unprognostic (1.86e-1)"		
SLC12A3	"NCC, NCCT"	ENSG00000070915	"Solute carrier family 12 member 3"	P55017	16	56865207-56915850	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Symport, Transport"		"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	118	"kidney: 98.9"	"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 5.8;dendritic cells: 20.8;Glandular and luminal cells: 4.2"	"Cancer enhanced"	"Detected in some"		"renal cancer: 2.5"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	20	"plasmacytoid DC: 14.9"	"Lineage enriched"	"Detected in single"	20	"dendritic cells: 14.9"	"Cancer enhanced"	"Detected in some"		"ovarian cancer: 6.3;Uterine cancer: 6.7"	"Kidney - Intercalated cells, Stomach - Parietal cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA028748	Enhanced						NA	NA			"Cluster 44: Plasmacytoid DCs - Plasma membrane proteins"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 51: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 28: Dendritic cells - Antigen presentation"				"HPA028748: AB_10603886"	"unprognostic (1.54e-3)"	"unprognostic (7.09e-5)"	"unprognostic (1.35e-1)"	"unprognostic (1.41e-2)"	"unprognostic (2.91e-1)"	"unprognostic (2.38e-4)"	"unprognostic (1.81e-1)"	"unprognostic (9.70e-2)"	"unprognostic (1.34e-1)"	"unprognostic (7.25e-2)"	"unprognostic (6.84e-2)"	"unprognostic (1.83e-1)"	"unprognostic (1.43e-1)"	"unprognostic (2.09e-1)"	"unprognostic (1.38e-1)"	"unprognostic (1.40e-2)"	"unprognostic (1.70e-1)"
TMEM207		ENSG00000198398	"Transmembrane protein 207"	Q6UWW9	3	190428655-190449901	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	114	"kidney: 17.1"	"Cell type enriched"	"Detected in single"	38	"Distal tubular cells: 36.9"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA014332	Uncertain						NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 39: Non-specific - Basic cellular processes"	9			"HPA014332: AB_2204907"															"unprognostic (4.81e-2)"		
SLC22A2	OCT2	ENSG00000112499	"Solute carrier family 22 member 2"	O15244	6	160171061-160277638	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	80	"kidney: 148.4"	"Group enriched"	"Detected in some"	7	"Distal tubular cells: 55.3;Proximal tubular cells: 143.4"	"Cancer enriched"	"Detected in single"	493	"renal cancer: 30.8"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Kidney cancer: 3.4;prostate cancer: 1.3"		"Low region specificity"	"Detected in many"			"Region enhanced"	"Detected in some"		"midbrain: 2.5"	"HPA008549, CAB068236, CAB068237"	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"CAB068236: AB_2665668, CAB068237: AB_2665669, HPA008549: "	"unprognostic (1.01e-1)"	"unprognostic (3.67e-1)"	"unprognostic (2.26e-1)"	"unprognostic (3.67e-2)"	"unprognostic (4.24e-1)"	"unprognostic (3.33e-1)"	"unprognostic (2.51e-2)"	"unprognostic (3.30e-1)"	"unprognostic (1.42e-2)"	"unprognostic (1.15e-4)"	"unprognostic (1.41e-1)"	"unprognostic (3.68e-1)"	"prognostic favorable (1.85e-7)"	"unprognostic (1.65e-2)"	"unprognostic (8.20e-2)"	"unprognostic (4.11e-1)"	"unprognostic (2.45e-2)"
SLC6A18	"FLJ31236, Xtrp2"	ENSG00000164363	"Solute carrier family 6 member 18"	Q96N87	5	1225381-1246189	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Amino-acid transport, Neurotransmitter transport, Symport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	75	"kidney: 7.9"	"Cell type enriched"	"Detected in some"	16	"Proximal tubular cells: 32.2"	"Cancer enriched"	"Detected in single"	44	"renal cancer: 4.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA011885	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"				"HPA011885: AB_1857198"			"unprognostic (2.02e-1)"										"unprognostic (5.69e-3)"	"unprognostic (2.90e-1)"			
