#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
CKB	creatine	1848031	-100000586	9606.ENSP00000299198	-1.CID100000586	0	0	0	0	0	0.800	0.900	0.867	0	0.997
GATM	creatine	1858414	-100000586	9606.ENSP00000379895	-1.CID100000586	0	0	0	0	0	0	0.900	0.947	0	0.994
CKMT1A	creatine	1860613	-100000586	9606.ENSP00000406577	-1.CID100000586	0	0	0	0	0	0	0.900	0.910	0	0.990
SLC6A8	creatine	1844202	-100000586	9606.ENSP00000253122	-1.CID100000586	0	0	0	0	0	0	0.900	0.880	0	0.987
CKMT1B	creatine	1848169	-100000586	9606.ENSP00000300283	-1.CID100000586	0	0	0	0	0	0	0.800	0.927	0	0.985
GAMT	creatine	1860415	-100000586	9606.ENSP00000403536	-1.CID100000586	0	0	0	0	0	0	0.900	0.818	0	0.981
CKMT2	creatine	1844264	-100000586	9606.ENSP00000254035	-1.CID100000586	0	0	0	0	0	0	0.900	0.816	0	0.981
GAMT	GATM	1860415	1858414	9606.ENSP00000403536	9606.ENSP00000379895	0	0	0	0	0	0	0.900	0.811	0	0.980
CKM	creatine	1842839	-100000586	9606.ENSP00000221476	-1.CID100000586	0	0	0	0	0	0	0.900	0.780	0	0.977
CKB	CKM	1848031	1842839	9606.ENSP00000299198	9606.ENSP00000221476	0	0	0.527	0.986	0	0.576	0.900	0.640	0	0.956
GAMT	CKM	1860415	1842839	9606.ENSP00000403536	9606.ENSP00000221476	0	0	0	0	0	0	0.900	0.411	0	0.938
GAMT	CKB	1860415	1848031	9606.ENSP00000403536	9606.ENSP00000299198	0	0	0	0	0	0	0.900	0.347	0	0.931
CKMT1A	GAMT	1860613	1860415	9606.ENSP00000406577	9606.ENSP00000403536	0	0	0	0	0	0	0.900	0.295	0	0.926
GAMT	CKMT2	1860415	1844264	9606.ENSP00000403536	9606.ENSP00000254035	0	0	0	0	0	0	0.900	0.276	0	0.924
SLC2A4	IGF1	1850296	1848439	9606.ENSP00000320935	9606.ENSP00000302665	0	0	0	0	0	0	0	0.913	0	0.913
SLC2A4	creatine	1850296	-100000586	9606.ENSP00000320935	-1.CID100000586	0	0	0	0	0	0	0	0.841	0	0.841
IGF1	creatine	1848439	-100000586	9606.ENSP00000302665	-1.CID100000586	0	0	0	0	0	0	0	0.828	0	0.828
GAMT	SLC6A8	1860415	1844202	9606.ENSP00000403536	9606.ENSP00000253122	0	0	0	0	0	0	0	0.423	0	0.422
CKMT1A	GATM	1860613	1858414	9606.ENSP00000406577	9606.ENSP00000379895	0	0	0	0	0	0	0	0.413	0	0.413
GATM	CKMT1B	1858414	1848169	9606.ENSP00000379895	9606.ENSP00000300283	0	0	0	0	0	0	0	0.407	0	0.407
