Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ACSM2A	"A-923A4.1, ACSM2, MGC150530"	ENSG00000183747	"Acyl-CoA synthetase medium chain family member 2A"	Q08AH3	16	20451461-20487669	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	1179	"kidney: 267.2;liver: 351.8"	"Group enriched"	"Detected in some"	8	"Hepatocytes: 564.8;Proximal tubular cells: 318.8"	"Group enriched"	"Detected in some"	479	"liver cancer: 22.7;renal cancer: 25.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"liver cancer: 1.2"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"									HPA057699	Supported						NA	NA				"Cluster 1: Liver & Kidney - Metabolism"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 62: Hepatocytes - Metabolism"				"HPA057699: AB_2683506"	"unprognostic (1.17e-4)"						"prognostic favorable (1.41e-5)"				"unprognostic (5.25e-1)"	"unprognostic (2.42e-1)"	"unprognostic (9.28e-3)"	"unprognostic (1.52e-1)"	"unprognostic (5.10e-1)"	"unprognostic (2.09e-1)"	
SLC12A1	"BSC, BSC-1, BSC1, CCC2, NKCC2"	ENSG00000074803	"Solute carrier family 12 member 1"	Q13621	15	48178438-48304078	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Potassium transport, Sodium transport, Symport, Transport"		"Bartter syndrome, Disease variant, FDA approved drug targets, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	825	"kidney: 687.0"	"Group enriched"	"Detected in some"	4	"Collecting duct cells: 33.1;Distal tubular cells: 92.2"	"Cancer enriched"	"Detected in single"	4	"renal cancer: 1.0"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Ascending Loop of Henle cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA014967, HPA018107"	Enhanced		Approved	Nucleoplasm,Vesicles			NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 1: Neurons - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 39: Non-specific - Basic cellular processes"		Vesicles	Nucleoplasm	"HPA014967: AB_1854503, HPA018107: AB_1854504"	"unprognostic (3.52e-2)"	"unprognostic (1.30e-2)"		"unprognostic (9.65e-2)"	"unprognostic (1.74e-2)"	"unprognostic (7.77e-2)"	"unprognostic (1.04e-1)"	"unprognostic (8.72e-2)"	"unprognostic (2.06e-1)"	"unprognostic (9.85e-3)"	"unprognostic (2.81e-4)"	"unprognostic (9.75e-2)"	"unprognostic (2.61e-1)"	"unprognostic (5.47e-2)"	"unprognostic (2.03e-1)"	"unprognostic (5.20e-4)"	"unprognostic (8.52e-2)"
TMEM174	"FLJ31268, MGC13034"	ENSG00000164325	"Transmembrane protein 174"	Q8WUU8	5	73173193-73175143	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	800	"kidney: 147.7"	"Cell type enriched"	"Detected in some"	7	"Proximal tubular cells: 117.5"	"Cancer enriched"	"Detected in single"	126	"renal cancer: 6.2"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			HPA037975	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 22: Non-specific - Mixed function"	"Cluster 61: BICR 18 - Protein kinases"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	12			"HPA037975: AB_10672732"					"unprognostic (8.11e-2)"								"prognostic favorable (3.30e-6)"				
UMOD		ENSG00000169344	Uromodulin	P07911	16	20333051-20356301	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunity, Innate immunity"		"Ciliopathy, Disease variant, Nephronophthisis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	689	"kidney: 2197.0"	"Group enriched"	"Detected in some"	164	"Collecting duct cells: 204.2;Distal tubular cells: 405.7"	"Cancer enriched"	"Detected in single"	39	"renal cancer: 5.5"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Breast glandular cells, Kidney - Ascending Loop of Henle cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB009446, HPA043420, HPA054721"	Enhanced				"Secreted in other tissues"	Immunity	NA	NA	55000000	66000000		"Cluster 52: Kidney - Transmembrane transport"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 39: Non-specific - Basic cellular processes"				"CAB009446: AB_2212378, HPA043420: AB_2678474, HPA054721: AB_2682585"	"unprognostic (2.51e-2)"										"unprognostic (1.33e-1)"	"unprognostic (6.45e-2)"	"unprognostic (3.02e-2)"	"unprognostic (1.49e-2)"	"unprognostic (1.43e-1)"		
UGT1A9	"HLUGP4, LUGP4, UGT1AI"	ENSG00000241119	"UDP glucuronosyltransferase family 1 member A9"	O60656	2	233671898-233773300	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism"	"Glycosyltransferase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	368	"kidney: 442.6;liver: 190.3"	"Group enriched"	"Detected in some"	17	"Hepatocytes: 7.1;Proximal tubular cells: 5.8"	"Group enriched"	"Detected in some"	157	"liver cancer: 16.1;renal cancer: 16.5"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"Kidney cancer: 109.6"	"Kidney - Proximal tubular cells, Liver - Hepatocytes"																NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"											"unprognostic (2.46e-2)"				"unprognostic (3.56e-1)"		"prognostic unfavorable (5.04e-5)"	"unprognostic (4.26e-2)"			"unprognostic (1.60e-1)"
CYP4A11	"CYP4A2, CYP4AII"	ENSG00000187048	"Cytochrome P450 family 4 subfamily A member 11"	Q02928	1	46929177-46941484	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	"Monooxygenase, Oxidoreductase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	346	"kidney: 209.6;liver: 824.3"	"Cell type enriched"	"Detected in some"	5	"Hepatocytes: 449.1"	"Cancer enriched"	"Detected in some"	5	"liver cancer: 73.4"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"																NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 1: Neurons - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 43: Hepatocytes - Metabolism"					"unprognostic (9.05e-2)"	"unprognostic (4.98e-2)"		"unprognostic (4.43e-2)"	"unprognostic (4.11e-1)"	"unprognostic (7.81e-5)"	"unprognostic (5.10e-3)"	"unprognostic (1.16e-2)"	"unprognostic (1.83e-2)"	"unprognostic (1.92e-2)"	"unprognostic (1.90e-1)"	"unprognostic (1.12e-1)"	"unprognostic (4.59e-2)"	"unprognostic (5.86e-2)"	"unprognostic (1.96e-1)"	"unprognostic (3.00e-3)"	"unprognostic (1.68e-2)"
ACSM2B	"ACSM2, HXMA, HYST1046"	ENSG00000066813	"Acyl-CoA synthetase medium chain family member 2B"	Q68CK6	16	20536226-20576427	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	331	"kidney: 399.0;liver: 510.9"	"Group enriched"	"Detected in some"	9	"Hepatocytes: 837.6;Proximal tubular cells: 400.7"	"Group enriched"	"Detected in some"	449	"liver cancer: 30.9;renal cancer: 17.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"									HPA057699	Supported						NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 15: Non-specific - Transcription"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	1			"HPA057699: AB_2683506"	"unprognostic (1.34e-2)"						"prognostic favorable (3.31e-4)"				"unprognostic (7.13e-2)"	"unprognostic (2.29e-1)"	"unprognostic (6.67e-2)"	"unprognostic (1.24e-1)"	"unprognostic (1.15e-1)"	"unprognostic (2.22e-2)"	
SLC7A13	"AGT-1, XAT2"	ENSG00000164893	"Solute carrier family 7 member 13"	Q8TCU3	8	86214063-86321146	"Predicted membrane proteins, Transporters"	"Amino-acid transport, Transport"			"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	231	"kidney: 40.4"	"Cell type enriched"	"Detected in some"	10	"Proximal tubular cells: 21.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Breast glandular cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 27: Breast cancer - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"					"unprognostic (3.34e-1)"						"unprognostic (2.62e-1)"					"unprognostic (1.12e-1)"	"unprognostic (2.96e-5)"				
SLC22A12	"OAT4L, RST, URAT1"	ENSG00000197891	"Solute carrier family 22 member 12"	Q96S37	11	64590641-64602353	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"		"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	205	"kidney: 106.4"	"Cell type enriched"	"Detected in some"	20	"Proximal tubular cells: 128.6"	"Cancer enriched"	"Detected in some"	4	"renal cancer: 16.5"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"			HPA024575	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 15: Non-specific - Transcription"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA024575: AB_1858650"					"unprognostic (5.88e-2)"		"unprognostic (2.33e-1)"						"prognostic favorable (2.63e-4)"	"unprognostic (6.19e-2)"	"unprognostic (3.91e-2)"		
SLC22A8	OAT3	ENSG00000149452	"Solute carrier family 22 member 8"	Q8TCC7	11	62989154-63015841	"FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"	"Detoxification, Ion transport, Lipid transport, Transport"		"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	203	"choroid plexus: 273.8;kidney: 322.8"	"Cell type enriched"	"Detected in some"	17	"Proximal tubular cells: 170.1"	"Cancer enhanced"	"Detected in single"		"renal cancer: 0.6"	"Region enriched"	"Detected in some"	31	"choroid plexus: 242.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA044174	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA044174: AB_10963058"							"unprognostic (5.35e-4)"					"unprognostic (4.66e-1)"	"unprognostic (6.88e-3)"	"unprognostic (1.72e-1)"	"unprognostic (2.20e-1)"		
